	BACE1	UBQLN1	MS4A6A	ABI3	ZCWPW1	MS4A4A	FRMD4A	IGF1R	MAPT	TP53INP1	SLC30A6	GSK3B	INSR	APH1B	MAN2A1	PSEN1	MTHFR	SLC30A4	ACE	TFCP2	SORCS1	ALPK2	SOAT1	NOS3	PPP1R37	GLIS3	SRRM4	CST3	SORL1	APOC2	SCIMP	ENTPD7	CELF1	ARID5B	PGBD1	HFE	CD2AP	CTNNA3	TFAM	BDNF	CYP19A1	PM20D1	IGF1	CHRNB2	EIF2AK3	EPHA1	CLNK	NEDD9	SLC24A4	CR1	GAPDH
PRPF8	0.2296	0.3149	-0.1526	-0.1563	0.0345	-0.2971	0.3824	0.0618	0.372	-0.2192	-0.1835	0.4116	0.1144	0.2359	0.0904	0.071	0.109	0.2077	-0.0607	0.1678	0.3132	-0.1413	-0.0134	-0.1178	0.1564	-0.1396	0.1185	-0.1887	0.0212	-0.2645	-0.2635	-0.0836	-0.2919	-0.1603	0.2324	-0.2485	0.0086	-0.1123	-0.0615	-0.119	-0.278	-0.2802	-0.2858	0.0315	-0.0925	-0.3136	-0.1568	-0.1114	-0.0145	-0.2406	0.3538
CAPNS1	0.4501	0.5314	-0.0134	-0.127	-0.0274	-0.042	0.3325	0.1459	0.6538	-0.1629	-0.0538	0.5958	0.1147	0.1143	0.1704	0.2164	0.2874	0.1597	0.0443	0.1159	0.3066	0.0209	-0.1534	0.0274	0.3459	0.0365	0.5089	-0.0266	0.3734	-0.1131	-0.1521	-0.0794	-0.0489	-0.0878	0.2059	-0.0224	-0.077	-0.0274	0.1406	-0.0273	-0.1283	-0.1931	-0.223	0.2926	-0.0853	-0.178	-0.1943	0.0098	0.0514	-0.1741	0.8239
RPL35	0.0549	0.02	0.3882	0.2404	0.098	0.1185	-0.0542	0.0318	0.0156	0.3067	0.1119	-0.14	0.1415	0.3192	0.283	0.323	0.1025	0.1586	0.1916	0.1097	-0.1386	0.2145	0.1629	0.1941	0.009	0.2227	-0.3424	0.1143	0.025	0.1558	0.118	0.055	0.0942	0.2038	0.0248	0.1726	0.2429	0.1592	-0.0108	0.0899	0.1904	0.2152	0.1782	0.0083	0.203	0.1311	0.08	0.2139	0.0488	0.135	0.1345
EIF4G2	0.2641	0.534	0.1306	-0.0285	0.2006	0.0311	0.2954	0.3829	0.4475	0.1883	0.2388	0.414	0.3763	0.2443	0.3559	0.2487	0.2821	0.3427	-0.0068	0.2995	0.1255	0.1651	0.2142	0.0902	0.2457	0.1927	0.1772	0.1692	0.3759	-0.0044	0.1019	0.1329	0.1513	0.1267	0.2488	0.2096	-0.008	0.1376	0.2355	0.1389	0.0882	0.065	0.0044	0.2058	0.1123	0.0784	-0.0879	0.0593	0.2825	0.0538	0.3615
EIF3D	0.2506	0.401	0.1321	-0.0642	0.2173	-0.0866	0.3089	0.0459	0.3334	0.0981	0.0334	0.3348	0.1679	0.5015	0.3203	0.3832	0.1614	0.3806	0.1358	0.3026	0.2432	0.0705	0.2344	0.045	0.1457	0.1008	-0.1673	-0.1758	-0.1219	0.0064	-0.071	0.0313	-0.158	-0.0336	0.2828	-0.1074	0.1058	0.0634	-0.0507	0.0866	-0.1485	-0.0532	-0.1159	0.1397	-0.0166	-0.1963	-0.0895	0.0204	0.1103	-0.0624	0.1678
PARK7	0.0677	0.4206	-0.0006	0.0369	0.284	0.0338	0.3929	0.1799	0.3454	0.1406	0.0514	0.4472	0.1115	0.3634	0.1069	0.1518	0.1857	0.4035	0.1101	0.3109	0.2973	0.1361	0.2177	0.1558	0.3257	0.0128	0.0291	0.0534	0.0883	0.0806	0.0471	0.1389	0.0455	0.1001	0.2808	0.0062	0.0988	-0.0169	0.0157	0.1029	0.0636	0.0034	-0.0136	0.2505	0.1508	-0.0369	-0.0924	0.0599	0.2063	-0.0628	0.109
SRP14	0.1435	0.3836	0.1085	-0.0273	0.0434	-0.0307	0.2814	0.2231	0.3541	0.1379	0.1416	0.3497	0.1167	0.2983	0.21	0.2166	0.15	0.2235	0.0276	0.1753	0.1905	0.1218	0.035	0.0264	0.1767	0.1783	0.1372	0.1173	0.0985	0.0075	0.033	0.0073	-0.0008	-0.0051	0.1273	0.0515	0.0454	-0.025	0.0908	0.1281	-0.0399	0.0376	0.0111	0.2033	0.0002	-0.0045	-0.1253	0.0674	0.1874	-0.0179	0.3351
GDI2	0.5961	0.5589	0.2124	-0.0744	-0.0322	0.0327	0.1386	0.2246	0.5148	0.0562	0.1379	0.45	0.3139	0.2351	0.4516	0.4836	0.288	0.2619	0.1215	0.1595	0.0679	0.1291	-0.0242	0.1033	0.195	0.174	0.2641	0.054	0.4108	-0.0535	0.0422	-0.051	0.0784	0.0312	0.1418	0.1538	0.0046	0.1948	0.2353	0.058	0.0069	-0.0337	-0.0591	0.1981	-0.0056	-0.0354	-0.1063	0.1034	0.1041	-0.0337	0.7739
RPL11	0.2813	0.1775	0.4024	0.1593	0.1537	0.1391	-0.108	0.1442	0.1312	0.3952	0.2338	-0.0547	0.3048	0.4704	0.5512	0.5425	0.2522	0.3494	0.2567	0.2476	-0.1142	0.2423	0.2661	0.181	0.019	0.3338	-0.3355	0.1357	0.174	0.1577	0.1541	0.0981	0.1376	0.2292	0.0699	0.2695	0.1855	0.4032	0.1199	0.1361	0.214	0.2954	0.2112	0.0231	0.1834	0.1308	0.0371	0.2479	0.1418	0.2077	0.279
ARF3	0.1193	0.4572	-0.175	-0.1934	0.0099	-0.288	0.545	0.0118	0.5331	-0.3443	-0.2033	0.7015	-0.1315	0.1108	-0.1345	-0.0638	0.1483	0.1868	-0.0758	0.1695	0.5429	-0.1456	-0.1455	-0.0958	0.3536	-0.1642	0.4376	-0.2194	-0.0042	-0.1951	-0.2148	-0.075	-0.2209	-0.1826	0.2773	-0.2658	-0.1129	-0.2935	-0.0523	0.0684	-0.2955	-0.3287	-0.3392	0.2613	-0.1672	-0.2716	-0.2746	-0.1533	0.0222	-0.2931	0.3118
