gene,score,label
LEP,0.99604,2
IFNG,0.994506667,2
IL10,0.9944,1
FGF10,0.994306667,2
NOS2,0.99328,2
TWIST2,0.993093333,2
PPARG,0.992533333,1
IL1R1,0.991653333,2
PITX2,0.99152,2
MMP9,0.99144,2
ARNTL,0.991386667,2
CYP19A1,0.991266667,1
MEOX2,0.9912,1
LEPR,0.990533333,2
FBN1,0.990346667,2
MECOM,0.989706667,2
CSF1,0.989586667,2
PTEN,0.989306667,2
SPTA1,0.98928,2
CD36,0.989253333,2
RAG1,0.989133333,2
HLA-DQB1,0.989106667,2
FGF8,0.988973333,2
ESR2,0.988893333,2
TNFRSF1A,0.988453333,2
GATA3,0.988346667,2
WT1,0.98796,2
BRCA1,0.98792,2
CCL13,0.98792,2
TLR4,0.987866667,2
ATG5,0.987813333,2
FCGR2B,0.987706667,2
TNF,0.9874,1
RXRA,0.98736,2
AIRE,0.987226667,2
HAND2,0.98716,2
KRAS,0.986986667,2
SHH,0.986946667,2
TYR,0.98664,2
ADIPOQ,0.986493333,2
IL6,0.986466667,1
FOXP3,0.98596,2
HPRT1,0.985933333,2
GJA1,0.98592,2
VDR,0.985893333,2
IL4,0.985866667,2
ATR,0.985853333,2
SMAD2,0.9856,2
KL,0.98552,2
PRKAR1A,0.985413333,2
VEGFA,0.9854,1
CHUK,0.98524,2
EGFR,0.985146667,2
TGFB1,0.985013333,2
TBX1,0.984973333,2
RELB,0.984933333,1
MYD88,0.984893333,2
HIF1A,0.9848,2
CSF2,0.984773333,2
RB1,0.98468,2
LRP5,0.984626667,2
PDE6B,0.9846,2
PAX3,0.984573333,2
ALPL,0.98436,2
PITX3,0.984093333,2
CREBBP,0.984066667,2
SELP,0.984053333,2
AKT1,0.983533333,2
RXRB,0.98352,2
NGFR,0.983453333,2
FOXA2,0.98336,2
ITGB1,0.983306667,2
TP63,0.983093333,2
NOTCH2,0.98308,2
RARG,0.983053333,2
HDAC2,0.982946667,2
INS,0.982706667,2
EP300,0.9826,2
NOS3,0.982266667,1
RUNX3,0.98224,2
BMP4,0.98216,2
CXCR2,0.982066667,2
LIF,0.98192,2
CDKN1A,0.981733333,2
PTF1A,0.98168,2
ACAN,0.98168,2
MMP14,0.981626667,2
PBX1,0.981533333,2
CDKN1C,0.981533333,2
PRKDC,0.981466667,2
SIX1,0.981426667,2
THBD,0.981306667,2
CTNNB1,0.981306667,2
ATF2,0.981186667,2
MGAT2,0.98116,2
ESR1,0.981133333,1
SMAD4,0.981066667,2
TNFRSF1B,0.980706667,2
PLG,0.980653333,2
TLR2,0.980506667,2
POMC,0.980386667,2
F2,0.980346667,2
MAPK8,0.98028,2
PLAU,0.980266667,1
DICER1,0.980186667,2
PKD1,0.980093333,2
IDUA,0.98,2
EFNB2,0.979986667,2
LTA,0.979973333,2
CCR2,0.979933333,1
PEX7,0.979866667,2
F2RL1,0.97984,2
CD19,0.979773333,2
CASP8,0.97976,2
OPRM1,0.97948,2
NODAL,0.97944,2
MAPK14,0.979413333,2
ITGB3,0.979306667,2
CITED2,0.979146667,2
RBPJ,0.97908,2
PRRX2,0.978973333,2
CEBPB,0.978893333,2
C3,0.978626667,2
FOS,0.978613333,2
HEXB,0.978373333,2
HSPA1B,0.978266667,2
LMNA,0.978253333,2
FSHR,0.9782,2
ZEB1,0.978026667,2
GATA1,0.977826667,2
ATP7A,0.9778,2
NR3C1,0.97776,2
CCND1,0.977533333,2
HOXA1,0.977533333,2
PIK3C3,0.977373333,2
AR,0.977373333,2
SOD1,0.97736,2
RRM2B,0.97724,2
COL1A1,0.977013333,2
SMAD1,0.977,2
CDKN2A,0.976773333,2
APC,0.97672,2
FAS,0.976533333,1
NF1,0.97648,2
MSX1,0.97644,2
GATA4,0.976386667,2
MT1H,0.976346667,2
CASP3,0.976333333,1
AGTR2,0.976306667,2
POLG,0.976266667,2
ARID4A,0.97624,2
PDGFRA,0.97624,2
CD44,0.976146667,2
REL,0.976146667,2
PSEN1,0.976133333,1
HSPG2,0.97608,2
TP53,0.975973333,2
MARK2,0.97592,2
MPV17,0.97588,2
ATP2A2,0.975853333,2
OTC,0.9758,1
NFKB2,0.975666667,2
RUNX1,0.975533333,2
HSPA1A,0.975466667,2
PEX5,0.97524,2
PTGS2,0.975226667,2
NCOA6,0.975186667,2
PSAP,0.975026667,2
JUN,0.97488,2
TP73,0.974866667,2
SOCS1,0.974626667,2
RAG2,0.97448,2
DMD,0.974293333,2
STK11,0.974266667,2
IKBKAP,0.974266667,2
DRD2,0.97408,2
IGF1,0.974,1
FOXG1,0.973706667,2
MESP1,0.973693333,2
VPS54,0.973626667,2
XBP1,0.97356,2
FASLG,0.973373333,2
IL2,0.973333333,2
MYF5,0.97328,2
PDPK1,0.973253333,2
ASIP,0.973186667,2
ST14,0.97312,2
LDLR,0.972933333,1
HMOX1,0.972733333,1
TGFBR2,0.972613333,2
PIKFYVE,0.972533333,2
EGLN1,0.972533333,2
TNFRSF11A,0.972493333,2
BCL2,0.972466667,1
KIT,0.972453333,2
NOS1,0.972386667,2
PLAT,0.972333333,2
ILK,0.972266667,2
XPA,0.972213333,2
MT1E,0.972146667,2
STK3,0.97208,2
MSX2,0.971986667,2
FZD4,0.971946667,2
ALX3,0.971933333,2
ATP7B,0.971933333,2
THRA,0.971866667,1
MET,0.971733333,2
GBX2,0.971733333,2
THBS1,0.971613333,2
CDKN2C,0.971466667,2
FGF9,0.971373333,2
DLG1,0.97136,2
BMPR1A,0.97136,2
TSC2,0.971186667,2
MYC,0.97116,2
PRKCI,0.97108,2
BRAF,0.970973333,2
THRB,0.97096,2
FES,0.970866667,2
CDC73,0.9708,2
HHEX,0.970733333,1
RAD23B,0.97072,2
MED1,0.970706667,2
TSC1,0.970666667,2
KITLG,0.970586667,2
PIK3CA,0.97056,2
E2F1,0.970506667,2
PAX6,0.97044,2
PDGFRB,0.970386667,2
PRF1,0.970346667,2
CAV1,0.97028,2
STAT3,0.970173333,2
TFAP2A,0.970173333,2
CDK4,0.970013333,2
SIRT1,0.969946667,2
RARA,0.96992,2
MYH10,0.969733333,2
TAL1,0.96972,2
FBXW7,0.969506667,2
FGFR2,0.969426667,2
LMX1B,0.969346667,2
RELA,0.969293333,2
CD47,0.969053333,2
NPR2,0.968933333,2
PTK2,0.968813333,2
NCF1,0.968733333,2
EDNRB,0.96856,2
FOXO1,0.968506667,2
CASR,0.968413333,2
SOD2,0.968333333,1
RBL1,0.968333333,2
STAT1,0.968306667,2
SOX9,0.968266667,2
ALDH1A2,0.96812,2
PTHLH,0.968093333,2
ANKH,0.968093333,2
GPC3,0.968053333,2
SOCS3,0.968,2
RGN,0.967946667,2
ID2,0.967946667,2
BLOC1S6,0.96788,2
NKX3-2,0.9678,2
FBXO11,0.967746667,2
AGER,0.96752,2
MAPK9,0.967453333,2
RAF1,0.967346667,2
LAMC1,0.967213333,2
MAP3K7,0.967213333,2
IFNAR1,0.96704,2
PPARD,0.96696,2
RUNX2,0.966946667,2
GNA11,0.966866667,2
STAT5A,0.966853333,2
CDKN1B,0.966733333,2
NPY2R,0.966693333,2
NR5A1,0.966653333,2
AMHR2,0.96648,2
NEU1,0.966333333,2
BCL2L11,0.966333333,2
BECN1,0.96632,2
LRP2,0.966306667,2
MAN2B1,0.966293333,2
NKX2-5,0.966093333,2
NOTCH1,0.965786667,2
SNAP25,0.965613333,2
ROR2,0.965413333,2
SYK,0.96536,2
ARNT,0.965333333,2
FGA,0.965333333,2
SOS1,0.96528,2
PPARGC1A,0.965226667,2
ITGAV,0.96516,2
ABL1,0.965133333,2
TIMP3,0.964986667,2
ZNF148,0.96488,2
FST,0.96484,2
LBR,0.964813333,2
SOX2,0.964733333,2
GATA2,0.964706667,2
ERG,0.96456,2
HOXB1,0.964533333,2
CRY2,0.96448,2
NFE2L2,0.964426667,2
APOE,0.9644,1
CEBPA,0.964213333,2
SMAD3,0.9642,2
PAX1,0.964186667,2
MUT,0.964146667,2
XIAP,0.964146667,2
KDR,0.96376,2
FOXH1,0.963746667,2
IL4R,0.963666667,2
SHARPIN,0.963493333,2
EFNB1,0.963453333,2
INHBA,0.963333333,2
GALC,0.963026667,2
EYA1,0.962986667,2
IGF2R,0.962933333,1
CD28,0.962773333,2
CRY1,0.96272,2
CFTR,0.962666667,2
SOX11,0.96264,2
OCA2,0.96244,2
INPP5D,0.962133333,1
FIGN,0.96204,2
ZDHHC13,0.961853333,2
KIFAP3,0.961853333,2
PANK2,0.9618,2
CD86,0.96176,2
EGR1,0.961613333,2
CBFB,0.9616,2
IL6ST,0.961546667,2
NOTCH3,0.961266667,1
GRB2,0.961026667,2
NDUFS4,0.961,2
PTPN11,0.96096,2
ERCC6,0.96092,2
PTCH1,0.960893333,2
FLT4,0.960826667,2
HTRA2,0.96048,2
FLT1,0.960466667,2
CDC42,0.960373333,2
SELL,0.96036,2
PDX1,0.96032,2
PTPRS,0.960306667,2
SUCO,0.960186667,2
TGFB2,0.960186667,2
NCOR1,0.959906667,2
ICAM1,0.959853333,2
ERBB2,0.95984,2
FOXN1,0.959613333,2
HNF1A,0.95956,2
BAX,0.9594,1
SGPL1,0.959373333,2
SMN2,0.959186667,2
NRP2,0.959173333,2
HOXA3,0.95908,2
IRS2,0.959066667,2
SMARCA4,0.959053333,2
BDKRB2,0.959026667,2
PTGDR,0.95884,2
CISD2,0.958693333,2
ARID4B,0.95868,2
MECP2,0.958573333,2
DUSP1,0.958253333,2
IGF2BP1,0.95812,2
PTPN6,0.95808,2
FOXC2,0.957906667,2
NR1H2,0.957853333,2
JAG1,0.957586667,2
GLI3,0.95752,2
CXCR4,0.95752,2
NPY1R,0.957426667,2
NPC1,0.9574,2
PRKAB1,0.957213333,2
JAM3,0.95708,2
DLL1,0.957,2
NOV,0.95692,2
SPTBN1,0.956653333,2
ADA,0.956573333,2
F3,0.956506667,2
SUPV3L1,0.956386667,2
TCF21,0.95632,2
FYN,0.956253333,2
IFNGR1,0.956253333,2
SELE,0.95624,2
PLA2G4A,0.95624,2
XRCC5,0.956226667,2
ITGA6,0.95616,2
SMG1,0.956106667,2
ERBB3,0.955813333,2
PRLR,0.955693333,2
ADAM17,0.955626667,2
SPINT1,0.955586667,2
NDFIP1,0.955506667,2
MDM2,0.95536,2
AP3B1,0.95516,2
NFATC1,0.955146667,2
NKX2-1,0.95504,2
SMARCB1,0.954866667,2
CX3CR1,0.954786667,2
OTX2,0.954693333,2
IGF2,0.9544,1
EPM2A,0.954386667,2
TERT,0.95428,2
CDON,0.954266667,2
B2M,0.954173333,2
B4GALT1,0.954106667,2
NFATC3,0.95404,2
RBL2,0.954,2
IGF1R,0.9536,1
EDA,0.953373333,2
TNFAIP3,0.952946667,2
E2F4,0.95272,2
HSPA5,0.952693333,2
SNCA,0.95256,2
SLC7A7,0.952546667,2
TSHR,0.952453333,2
B9D1,0.95244,2
TCF7,0.952346667,2
DNMT1,0.952253333,2
CTLA4,0.952173333,2
PTPRC,0.952066667,2
MYL2,0.952066667,2
PROC,0.952026667,2
PAX8,0.951973333,2
FGF23,0.95188,2
XRCC4,0.951733333,2
TIE1,0.951266667,2
HAND1,0.95124,2
DLL4,0.951226667,2
CD40LG,0.95108,2
C3AR1,0.95108,2
CDK2,0.951053333,2
MNX1,0.950973333,2
DRD3,0.95044,2
SOX4,0.95044,2
POLB,0.950093333,2
EN1,0.950066667,2
GATA6,0.949546667,2
NOG,0.949533333,2
HOXB4,0.949533333,2
INSR,0.949466667,1
PROX1,0.949453333,2
CD1D,0.94944,2
PTPRJ,0.949306667,2
POR,0.94928,2
BRCA2,0.949213333,2
STAT6,0.949066667,2
PHEX,0.949053333,2
KAT6A,0.94896,2
JARID2,0.948906667,2
FGFR1,0.948906667,2
LAMA5,0.948786667,2
ACTB,0.948773333,2
COL4A1,0.94876,2
GLI2,0.948626667,2
SPP1,0.94844,2
MCAT,0.94824,2
PDGFB,0.94824,2
BSCL2,0.9482,2
ERRFI1,0.948146667,2
LRP1,0.948133333,1
CUX1,0.94796,2
NR1H3,0.947946667,2
TBX3,0.947906667,2
CDX2,0.947786667,2
FOXC1,0.94772,2
HOXA13,0.947706667,2
MERTK,0.947573333,2
ALDH2,0.94752,2
HR,0.947506667,2
ABCA1,0.947466667,1
ID3,0.947173333,2
MPZ,0.947066667,2
NCOA3,0.946933333,2
LGR4,0.946813333,2
JMJD6,0.94656,2
AKT2,0.94624,2
PTGER2,0.9462,2
RPL38,0.946093333,2
FGFR3,0.945986667,2
EDNRA,0.945946667,2
MCOLN1,0.94588,2
LRP6,0.945866667,2
MYCN,0.945786667,2
TFRC,0.94568,2
NFATC4,0.9456,2
CELSR1,0.945573333,2
COL2A1,0.94536,2
SLC2A4,0.945333333,1
IHH,0.945306667,2
PTGS1,0.945226667,2
RORA,0.945186667,2
SLC39A4,0.94516,2
PER2,0.94512,2
BBS4,0.944893333,2
IL12B,0.9448,2
DNM1L,0.9448,2
ANK1,0.944786667,2
MAPK1,0.94472,2
GRHL3,0.94464,2
CHD7,0.944573333,2
TWSG1,0.944546667,2
FADD,0.944133333,2
GNAI2,0.944066667,2
KIF3A,0.944026667,2
SIRT2,0.944,2
HSD17B4,0.94356,2
AQP3,0.94348,2
SLC20A1,0.943426667,2
HLX,0.9434,2
DHCR7,0.9432,2
HRAS,0.943106667,2
MTOR,0.943026667,2
BRD2,0.94272,2
FGF2,0.942653333,2
AXL,0.942333333,2
BIRC3,0.942253333,2
BID,0.942106667,2
RDH10,0.94184,2
ARHGAP1,0.941653333,2
PSEN2,0.941333333,1
HAS2,0.941306667,2
MEF2C,0.941066667,1
GDNF,0.940786667,2
GHR,0.94072,2
TTN,0.940706667,2
ACVR1,0.94068,2
SLC6A4,0.940666667,2
ELAVL1,0.940613333,2
ATE1,0.940453333,2
SLC6A3,0.940346667,2
RAC1,0.9402,2
FGG,0.939933333,2
HOXA2,0.939853333,2
CREB1,0.9398,2
DDR2,0.939773333,2
SERPINE1,0.939533333,2
GADD45A,0.939413333,2
NR4A3,0.939306667,2
CLCN3,0.939146667,2
BIRC6,0.939106667,2
VHL,0.939066667,2
FN1,0.938786667,2
TYRO3,0.938626667,2
PCSK1,0.93856,2
CCM2,0.93856,2
OPA1,0.938466667,2
CYBB,0.938453333,2
CBS,0.93844,2
CYP11A1,0.93836,2
S1PR2,0.938226667,2
JAG2,0.937933333,2
TGFB3,0.937853333,2
PKNOX1,0.93784,2
ABCG5,0.93776,2
BAZ1B,0.937653333,2
YAP1,0.937626667,2
MYF6,0.937546667,2
RARB,0.937506667,2
CHRD,0.937453333,2
GNRH1,0.937453333,2
RPS6KB1,0.937386667,2
ERCC2,0.93736,2
AHR,0.937346667,2
PTGER1,0.937173333,2
LYST,0.937093333,2
HTR3A,0.937053333,2
PRRX1,0.936933333,2
ACVR2A,0.936853333,2
PCMT1,0.936853333,2
NF2,0.93672,2
MEN1,0.93664,2
GTF2IRD1,0.936333333,2
PARL,0.936293333,2
BAK1,0.936226667,2
SERPINC1,0.93604,2
FKBP1A,0.936026667,2
FEN1,0.93592,2
PRNP,0.9356,1
NPR3,0.935413333,2
PHOX2A,0.93536,2
PROP1,0.935293333,2
ACVRL1,0.935266667,2
FGFRL1,0.93516,2
LUM,0.935133333,2
ISL1,0.935,2
ETV6,0.93484,2
DOK1,0.934653333,2
CD4,0.93452,2
AGR2,0.934426667,2
CBL,0.934386667,2
IRS1,0.933973333,2
LIG4,0.933906667,2
NRAS,0.933893333,2
CTSB,0.933733333,2
MMP7,0.93372,2
HFE,0.933666667,1
PDCD10,0.933533333,2
KCNJ1,0.933506667,2
LTB,0.933333333,2
TCF7L2,0.933266667,2
GNA13,0.93296,2
APP,0.932933333,1
ERCC1,0.932933333,2
APOA4,0.932853333,2
DBNL,0.9328,2
SLC19A1,0.932546667,2
EPOR,0.932506667,2
MIB1,0.932266667,2
MKS1,0.932133333,2
MYSM1,0.932133333,2
CCR1,0.93204,2
HIP1,0.931946667,2
EGLN3,0.93192,2
SALL4,0.931693333,2
PRKCD,0.93168,2
NFKB1,0.931586667,2
NR5A2,0.931373333,2
CNP,0.931053333,2
PAX5,0.930986667,2
SIM1,0.9308,2
MCM2,0.930706667,2
CYLD,0.93036,2
FAM20C,0.93028,2
CCND3,0.93028,2
ACP2,0.930253333,2
COL4A3,0.930186667,2
JUND,0.93016,2
STAT5B,0.930106667,2
GJA5,0.930093333,2
IL18,0.93008,2
KISS1R,0.930066667,2
EDARADD,0.92964,2
GAD1,0.92964,2
F2R,0.929626667,2
SCGB1A1,0.929426667,2
SFRP2,0.929373333,2
ACVR2B,0.92924,2
STIM1,0.929226667,2
SHC1,0.929186667,2
IL5,0.929106667,2
SLC31A1,0.92908,2
EMX1,0.928973333,2
IL2RG,0.9286,2
IL13,0.928426667,2
MMP2,0.928413333,2
PKD2,0.928386667,2
YBX1,0.92828,2
VCP,0.92824,2
SP3,0.927973333,2
SDHD,0.92784,2
GUSB,0.927826667,2
HMGA2,0.927733333,2
HUWE1,0.927706667,2
GLRA1,0.927693333,2
ATOH1,0.927693333,2
G6PC,0.927613333,2
TGFBR1,0.927546667,2
ZMPSTE24,0.927426667,2
MUSK,0.927293333,2
LRRK2,0.927253333,2
PARP1,0.927013333,2
DRD1,0.926693333,2
SLC40A1,0.926693333,2
ARSB,0.926693333,2
SH3BP2,0.92652,2
DKC1,0.926426667,2
GNAQ,0.926346667,2
APOB,0.926293333,2
SGCG,0.9262,2
ZFP36,0.926146667,2
GUCY2C,0.926053333,2
FLNA,0.92592,2
TRPV1,0.925866667,2
MORF4L1,0.925853333,2
CCKAR,0.925813333,2
MFN2,0.9256,2
ABI1,0.92544,2
DLK1,0.925266667,2
LIPA,0.925226667,2
MC2R,0.925053333,2
STK4,0.925026667,2
CASP4,0.925,2
NPR1,0.924853333,2
PTPN9,0.92484,2
PRDM1,0.92468,2
AP3D1,0.924626667,2
FOXP2,0.924453333,2
WWTR1,0.92444,2
RET,0.924333333,2
LAMP2,0.924333333,2
LRIG1,0.924293333,2
RICTOR,0.924253333,2
SNAI2,0.92388,2
IL27RA,0.92368,2
KRT19,0.923653333,2
NPM1,0.92344,2
PIK3CG,0.923346667,2
LEF1,0.923053333,2
PTPN2,0.922973333,2
PDS5B,0.92292,2
PITPNA,0.922866667,2
PDSS2,0.922853333,2
ACE,0.9226,1
HTT,0.92236,2
POMGNT1,0.922293333,2
PURA,0.922146667,2
MMP12,0.92196,2
PPARGC1B,0.92192,2
PRSS8,0.92168,2
UBE2B,0.9216,2
EIF2AK3,0.9214,1
JAK2,0.921266667,2
HLA-DOA,0.921253333,2
GHRHR,0.92116,2
LIPE,0.921146667,2
GUCY1B3,0.92108,2
ALX1,0.92096,2
MEOX1,0.92092,2
BAG3,0.9208,2
PPP3R1,0.920786667,2
PTS,0.920693333,2
HP,0.920586667,2
PDCD1,0.92036,2
ADRA2B,0.920226667,2
EPHB6,0.920146667,2
KCNJ6,0.91996,2
MEFV,0.919933333,2
PGR,0.91972,2
DBH,0.91972,2
ATRX,0.919666667,2
AXIN1,0.91956,2
FCER1G,0.919386667,2
IL2RB,0.919266667,2
PTPN22,0.91924,2
SMAD5,0.9192,2
ENPP1,0.919186667,2
NKX2-3,0.919173333,2
CHD2,0.918653333,2
LAMA2,0.918626667,2
CUL4A,0.918293333,2
IKBKB,0.91816,2
PLAUR,0.917933333,2
GFI1,0.917906667,2
NEUROD1,0.917893333,2
NR2F2,0.917866667,2
CACNA1S,0.917826667,2
CHRNG,0.917773333,2
GALNT3,0.91764,2
MAPT,0.917533333,1
HSD11B1,0.917453333,2
ENG,0.917333333,2
TCF3,0.917213333,2
HPS1,0.9172,2
IL1RN,0.917133333,1
CHRNB2,0.917,1
DCN,0.91684,2
POU4F3,0.916746667,2
KRT6A,0.916746667,2
HOXA5,0.916733333,2
LPIN1,0.916386667,2
EFEMP1,0.916333333,2
BUB1B,0.916133333,2
ADCYAP1,0.916053333,2
PLCG2,0.915973333,2
CDH1,0.915813333,2
UBR1,0.9158,2
CTSA,0.91572,2
CYP27B1,0.915706667,2
LASP1,0.915666667,2
ITGA5,0.9156,2
GBA,0.91516,2
CSF1R,0.915133333,2
MYOG,0.915106667,2
VANGL2,0.915013333,2
WNT1,0.915013333,2
CD200,0.91484,2
GLRB,0.91468,2
PNPLA2,0.914586667,2
FLI1,0.91432,2
SFN,0.91428,2
FOXI1,0.914226667,2
CCKBR,0.914173333,2
HCK,0.913906667,2
TH,0.913906667,2
CYP11B1,0.91388,2
APEX1,0.9138,2
KDM8,0.913626667,2
TUB,0.9136,2
TMPRSS6,0.913573333,2
BBS1,0.913506667,2
ADRBK1,0.913453333,2
CXADR,0.91344,2
SLC4A1,0.913413333,2
CCND2,0.91336,2
SBDS,0.91316,2
NAGLU,0.913066667,2
CFL1,0.912773333,2
SUV420H1,0.912693333,2
FOXM1,0.91256,2
CD79A,0.912426667,2
BIK,0.912186667,2
KCNQ1,0.91212,2
SLC12A1,0.911933333,2
PIP5K1C,0.911826667,2
MITF,0.911613333,2
AIFM1,0.9116,2
PITX1,0.911466667,2
ERCC8,0.911186667,2
UCP1,0.911106667,2
ZIC3,0.91108,2
ERBB4,0.91108,2
COQ9,0.91096,2
GZMB,0.91096,2
BIRC2,0.910866667,2
ADAR,0.91068,2
BUB1,0.910413333,2
ATXN2,0.9104,2
ANGPTL4,0.9102,2
PDGFA,0.910173333,2
HNF1B,0.910146667,2
EPB41L5,0.91,2
SAFB,0.909853333,2
GLB1,0.909506667,2
GMNN,0.909453333,2
ACD,0.909413333,2
HOXD3,0.909386667,2
CACNA1A,0.90932,2
RAB27A,0.909293333,2
AVPR1A,0.90904,2
TK1,0.90892,2
WDR1,0.908906667,2
NLRP3,0.908893333,2
PKHD1,0.908813333,2
SIK3,0.908773333,2
FBXL5,0.90876,2
AKAP13,0.908586667,2
MYH9,0.908573333,2
CCR10,0.90848,2
CCR5,0.90844,2
F11,0.908373333,2
HES1,0.908306667,2
IKBKG,0.908306667,2
MAPK7,0.908106667,2
PFN1,0.908066667,2
SAV1,0.907933333,2
DNAH5,0.90792,2
MAP3K8,0.907573333,2
SEC23B,0.907293333,2
PDGFC,0.90728,2
EBF2,0.90728,2
NEUROG3,0.907026667,2
ERN1,0.907,2
CACNA2D2,0.90696,2
EPO,0.906946667,2
DFNB31,0.90692,2
TPH1,0.906906667,2
BCL2L1,0.906906667,2
TGM2,0.906893333,2
AGPAT2,0.90684,2
SLC11A2,0.906826667,2
RPTOR,0.906786667,2
SLC37A4,0.906613333,2
TAGLN,0.906466667,2
PCSK5,0.906373333,2
RCAN1,0.906346667,2
PHOX2B,0.90628,2
FFAR2,0.906253333,2
HELLS,0.9062,2
MAFB,0.9062,2
HNF4A,0.906186667,2
MYOD1,0.906066667,2
REV3L,0.905973333,2
TNIP1,0.905946667,2
EREG,0.9058,2
GDF11,0.90572,2
POU1F1,0.905453333,2
MAPK3,0.905346667,2
EWSR1,0.905266667,2
CRK,0.905213333,2
YES1,0.9052,2
PPP3CA,0.90512,2
STAG1,0.904986667,2
ADAM10,0.904866667,1
NFATC2,0.904453333,2
WNT3A,0.904373333,2
RLN1,0.904373333,2
MDM4,0.90424,2
SH3KBP1,0.904186667,2
CTSD,0.904133333,1
GATA5,0.904066667,2
HDC,0.903946667,2
HOXD13,0.903693333,2
MBTPS1,0.903533333,2
IGHMBP2,0.903493333,2
PLEKHA1,0.90344,2
ATMIN,0.903386667,2
COL13A1,0.903133333,2
CYP26A1,0.903053333,2
PARK2,0.902946667,2
FUZ,0.902746667,2
PIK3R1,0.902693333,2
MAP2K4,0.902533333,2
AHI1,0.902306667,2
ACTC1,0.902306667,2
SQSTM1,0.90224,2
DDR1,0.90212,2
ADRA1B,0.90192,2
BNIP3L,0.901853333,2
UBE3A,0.901853333,2
SFRP5,0.901786667,2
CNR1,0.90176,2
FADS2,0.901746667,2
CCR7,0.901666667,2
GSC,0.9016,2
STUB1,0.901493333,2
TRAF6,0.901453333,2
ITGB4,0.90144,2
STAM,0.901173333,2
HSPB2,0.901173333,2
GABPA,0.900973333,2
CDK6,0.900626667,2
ITGA3,0.900613333,2
TIPARP,0.900346667,2
PEX13,0.900213333,2
WRN,0.900146667,2
NTRK1,0.90012,2
SKI,0.899746667,2
AKT3,0.899666667,2
BMP5,0.899586667,2
ARID5B,0.899466667,1
TWIST1,0.899453333,2
ZFAND5,0.899266667,2
CCNE1,0.899173333,2
MYO7A,0.899026667,2
CTGF,0.898933333,2
MYO6,0.89888,2
BUB3,0.898853333,2
VCAM1,0.898733333,2
ROBO3,0.898653333,2
QKI,0.898613333,2
ROBO1,0.898226667,2
PLA2G10,0.898026667,2
NTRK2,0.897986667,2
TFAM,0.897933333,1
VIM,0.8978,2
TGIF1,0.89776,2
DOT1L,0.897653333,2
RORC,0.89756,2
PRKACA,0.897466667,2
ATF4,0.897413333,2
NR3C2,0.897266667,2
CDO1,0.897226667,2
HOXD9,0.8972,2
NBN,0.896946667,2
CRKL,0.896933333,2
KMT2A,0.896866667,2
WASL,0.896813333,2
ARL6IP5,0.896613333,2
HIST1H1E,0.896546667,2
GRM1,0.896506667,2
TFPI,0.896,2
ANXA7,0.895586667,2
BDNF,0.895466667,1
SFRP1,0.8954,2
JUP,0.8954,2
E2F3,0.895306667,2
NIPBL,0.895106667,2
EBI3,0.895093333,2
GPM6B,0.894986667,2
SCNN1G,0.89472,2
LARGE,0.894706667,2
PIGA,0.894706667,2
GNPAT,0.89464,2
IFT88,0.894626667,2
IL36RN,0.8944,2
TIMP1,0.894386667,2
PBX3,0.89432,2
HIRA,0.89428,2
FZR1,0.894106667,2
NLRP6,0.89408,2
MSTN,0.89404,2
NOX4,0.894013333,2
TACR1,0.893866667,2
NCOR2,0.89384,2
TYRP1,0.893813333,2
KDM6A,0.8938,2
SEPP1,0.893773333,2
AFG3L2,0.8936,2
SPEN,0.89324,2
ABHD5,0.893,2
LTBP1,0.89296,2
CSF2RB,0.892933333,2
HSD11B2,0.892933333,2
FOXO3,0.89288,2
CDKN2B,0.89284,2
TYROBP,0.892666667,2
HDAC1,0.89248,2
POSTN,0.892333333,2
SLC4A4,0.89228,2
PAX9,0.892253333,2
NGF,0.892066667,2
ADORA2A,0.892053333,2
SNAI1,0.89192,2
E2F6,0.89188,2
GLRX3,0.891866667,2
HTR2B,0.89176,2
PLP1,0.89168,2
AVPR2,0.89132,2
ATM,0.89104,2
ANXA1,0.890933333,2
BMP7,0.89084,2
AQP2,0.890746667,2
ANO1,0.89024,2
POU2F2,0.89016,2
ADRM1,0.890106667,2
TPO,0.890093333,2
MYL1,0.89008,2
RHO,0.890026667,2
CXCR3,0.890013333,2
FANCD2,0.88992,2
DCC,0.88988,2
ROCK1,0.88988,2
RYR2,0.889773333,2
FPR2,0.88976,2
SPINK1,0.889746667,2
CXCL16,0.889693333,2
IL10RB,0.8896,2
GNRHR,0.88948,2
IL17A,0.889426667,2
EEF1A2,0.889373333,2
PPT1,0.88932,2
MXI1,0.88924,2
REN,0.889053333,2
COPS5,0.889053333,2
NCSTN,0.888986667,2
EPAS1,0.888693333,2
NTF3,0.88868,2
KLF2,0.888573333,2
EZH2,0.888386667,2
BMP2,0.888373333,2
TERF1,0.88836,2
APAF1,0.888333333,2
TLR5,0.888186667,2
SRF,0.88816,2
RGS4,0.888013333,2
NFE2L1,0.888013333,2
PTGER4,0.887866667,2
E2F2,0.887186667,2
MBD4,0.887133333,2
MAPK6,0.887066667,2
MPL,0.887066667,2
MIA3,0.886986667,2
