	score	num
A1BG	972	40
A1CF	567	14
A2ML1	318	16
A4GALT	179	6
A4GNT	654	6
AAAS	165	2
AACS	306	36
AADAC	376	16
AADACL2	242	2
AADACL3	277	6
AADACL4	222	2
AADAT	313	18
AAED1	325	4
AAGAB	169	2
AAK1	934	26
AAMDC	256	6
AAMP	235	6
AANAT	931	26
AAR2	228	2
AARD	189	2
AARS	355	10
AARS2	417	12
AARSD1	159	2
AASDH	443	34
AASDHPPT	364	14
AASS	480	18
AATF	716	32
AATK	170	2
ABAT	466	26
ABCA10	183	6
ABCA12	502	6
ABCA13	903	24
ABCA2	756	114
ABCA3	489	20
ABCA4	357	32
ABCA5	243	10
ABCA6	200	6
ABCA8	247	8
ABCA9	200	6
ABCB1	641	108
ABCB10	293	10
ABCB11	575	56
ABCB4	344	54
ABCB5	385	42
ABCB6	780	28
ABCB7	270	24
ABCB8	780	8
ABCB9	251	6
ABCC1	482	56
ABCC10	301	8
ABCC11	309	8
ABCC12	276	10
ABCC2	470	54
ABCC3	494	26
ABCC4	352	34
ABCC5	452	20
ABCC6	342	34
ABCC8	578	76
ABCC9	457	22
ABCD1	351	16
ABCD2	333	10
ABCD3	455	22
ABCD4	863	16
ABCE1	514	20
ABCF1	468	18
ABCF2	539	10
ABCF3	323	14
ABCG1	774	90
ABCG2	685	88
ABCG4	553	46
ABCG5	775	56
ABCG8	795	56
ABHD1	372	6
ABHD11	345	12
ABHD12	374	10
ABHD14B	294	6
ABHD16A	294	8
ABHD2	225	2
ABHD3	313	4
ABHD4	219	8
ABHD5	456	26
ABHD6	377	6
ABI1	412	36
ABI2	286	32
ABI3BP	975	6
ABL1	919	108
ABL2	720	48
ABLIM1	339	14
ABLIM2	509	14
ABLIM3	282	6
ABO	256	14
ABR	415	16
ABRA	279	10
ABT1	246	8
ABTB1	287	16
ACAA1	902	42
ACAA2	522	40
ACACA	648	68
ACACB	475	50
ACAD10	405	20
ACAD11	235	4
ACAD8	269	6
ACAD9	266	22
ACADL	469	38
ACADM	537	62
ACADS	328	32
ACADSB	263	18
ACADVL	482	32
ACAN	993	66
ACAP1	936	12
ACAP2	238	12
ACAP3	379	6
ACAT1	386	40
ACAT2	432	32
ACBD3	469	10
ACBD5	444	6
ACCS	249	16
ACCSL	249	8
ACD	346	18
ACE2	950	66
ACER1	594	4
ACER2	210	8
ACER3	210	6
